Sequence name,Lineage,Conflict,Ambiguity score,Scorpio call,Scorpio support,Scorpio conflict,Note,pangolin version,pangolin-data version
NDH0844,XBB.2,0.0,,Omicron (XBB-like),0.91,0.05,Usher placements: XBB.2(1/1),4.3,v1.22
NDH0845,XBB.2,0.0,,Omicron (XBB-like),0.85,0.05,Usher placements: XBB.2(1/1),4.3,v1.22
NDH0846,XBB.2,0.0,,Omicron (XBB-like),0.95,0.02,Usher placements: XBB.2(1/1),4.3,v1.22
NDH0847,XBB.2,0.0,,Omicron (XBB-like),0.91,0.05,Usher placements: XBB.2(1/1),4.3,v1.22
NDH0848,XBB.2,0.0,,Omicron (XBB-like),0.94,0.04,Usher placements: XBB.2(1/1),4.3,v1.22
NDH0854,BQ.1.1,0.5,,Omicron (BA.5-like),0.92,0.07,Usher placements: BQ.1.1(1/2) BQ.1.1.72(1/2),4.3,v1.22
NDH0862,XBB.2,0.0,,Omicron (XBB-like),0.86,0.02,Usher placements: XBB.2(1/1),4.3,v1.22
NDH829,XBB.2,0.0,,Omicron (XBB-like),0.9,0.04,Usher placements: XBB.2(1/1),4.3,v1.22
NDH832,XBB.2,0.0,,Omicron (XBB-like),0.89,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
NDH834,XBB.2,0.0,,Omicron (XBB-like),0.96,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
NDH835,XBB.2,0.0,,Omicron (XBB-like),0.85,0.04,Usher placements: XBB.2(1/1),4.3,v1.22
NDH836,XBB.2,0.0,,Omicron (XBB-like),0.89,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
NDH837,XBB.2,0.0,,Omicron (XBB-like),0.88,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
NDH839,XBB.2,0.0,,Omicron (XBB-like),0.86,0.02,Usher placements: XBB.2(1/1),4.3,v1.22
NDH840,XBB.2,0.0,,Omicron (XBB-like),0.93,0.05,Usher placements: XBB.2(1/1),4.3,v1.22
NDH841,XBB.2,0.0,,Omicron (XBB-like),0.96,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
RHC0404,XBB.2,0.0,,Omicron (XBB-like),0.85,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
RHC0423,XBB.2,0.0,,Omicron (XBB-like),0.95,0.02,Usher placements: XBB.2(1/1),4.3,v1.22
RHC0431,XBB.2,0.0,,Omicron (XBB-like),0.93,0.05,Usher placements: XBB.2(1/1),4.3,v1.22
RHC0474,XBB.2,0.0,,Omicron (XBB-like),0.95,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
SBH1066,XBB.2,0.0,,Omicron (XBB-like),0.96,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
SBH1079,BA.1.18,0.0,,Omicron (Unassigned),0.91,0.09,Usher placements: BA.1.18(1/1); scorpio found insufficient support to assign a specific lineage,4.3,v1.22
SBH1081,XBB.2,0.0,,Omicron (XBB-like),0.93,0.05,Usher placements: XBB.2(1/1),4.3,v1.22
SBH1098,XBB.2,0.0,,Omicron (XBB-like),0.96,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
SBH1102,XBB.2,0.0,,Omicron (XBB-like),0.86,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
SBH1113,XBB.2,0.0,,Omicron (XBB-like),0.95,0.02,Usher placements: XBB.2(1/1),4.3,v1.22
SBH1130,BQ.1.1,0.0,,Probable Omicron (Unassigned),0.62,0.03,Usher placements: BQ.1.1(3/3); scorpio found insufficient support to assign a specific lineage,4.3,v1.22
SBH1140,XBB.2,0.0,,Omicron (XBB-like),0.95,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
SRH0125,BA.4.1,0.0,,Omicron (BA.4-like),0.98,0.02,Usher placements: BA.4.1(1/1),4.3,v1.22
STG0115,XBB.3.2,0.0,,Omicron (XBB-like),0.93,0.02,Usher placements: XBB.3.2(1/1),4.3,v1.22
STG0313,XBB.1.16,0.0,,Omicron (XBB-like),0.91,0.04,Usher placements: XBB.1.16(1/1),4.3,v1.22
STG0321,HB.1,0.0,,Omicron (XBB-like),0.9,0.04,Usher placements: HB.1(1/1),4.3,v1.22
STG095,XBB.1.16,0.5,,Omicron (XBB-like),0.81,0.01,Usher placements: XBB.1.16(1/2) XBB.1.16.18(1/2),4.3,v1.22
STG118,XBB.2,0.0,,Omicron (XBB-like),0.95,0.01,Usher placements: XBB.2(1/1),4.3,v1.22
STG131,BA.4.1,0.0,,Omicron (BA.4-like),1.0,0.0,Usher placements: BA.4.1(1/1),4.3,v1.22
STG133,XBB.3.2,0.0,,Omicron (XBB-like),0.94,0.02,Usher placements: XBB.3.2(1/1),4.3,v1.22
STG134,BQ.1.1,0.6666666666666666,,Omicron (BA.5-like),0.97,0.03,Usher placements: BQ.1.1(1/3) BQ.1.1.13(1/3) BQ.1.1.72(1/3),4.3,v1.22
TRH0395,BA.4.1,0.0,,Omicron (BA.4-like),0.98,0.0,Usher placements: BA.4.1(1/1),4.3,v1.22
TRH0411,BA.1.18,0.0,,Omicron (Unassigned),0.91,0.09,Usher placements: BA.1.18(1/1); scorpio found insufficient support to assign a specific lineage,4.3,v1.22
TRH0495,XBB.2,0.0,,Omicron (XBB-like),0.96,0.01,Usher placements: XBB.2(2/2),4.3,v1.22
